eval_wallclock,iteration,exploitability
2025-11-02T20:24:47,0,5.757407
2025-11-02T20:24:48,50,5.914781
2025-11-02T20:24:48,100,4.943053
2025-11-02T20:24:48,150,4.942268
2025-11-02T20:24:48,200,4.955745
2025-11-02T20:24:48,250,4.954294
2025-11-02T20:24:49,300,4.835969
2025-11-02T20:24:49,350,4.816288
2025-11-02T20:24:49,400,4.822004
2025-11-02T20:24:49,450,4.833473
2025-11-02T20:24:50,500,4.905252
2025-11-02T20:24:50,550,5.000321
2025-11-02T20:24:50,600,5.073485
2025-11-02T20:24:50,650,5.099231
2025-11-02T20:24:50,700,5.082623
2025-11-02T20:24:51,750,5.042872
2025-11-02T20:24:51,800,4.993487
2025-11-02T20:24:51,850,4.963773
2025-11-02T20:24:51,900,4.929047
2025-11-02T20:24:52,950,4.904415
2025-11-02T20:24:52,1000,4.900471
