Iteration,Exploitability_Current,Exploitability_SDCFR,VS_Random,VS_Always_Call,VS_Always_Raise
0,5.693982,N/A,-0.500000,-1.740000,-0.210000
50,8.552501,N/A,2.000000,0.280000,0.780000
100,7.391813,7.178388,1.930000,-0.520000,1.370000
150,7.033650,7.387775,1.430000,1.850000,2.640000
200,6.773613,7.572023,0.410000,0.350000,1.290000
250,6.371397,6.974919,1.640000,0.970000,2.260000
300,5.866233,6.129441,0.400000,0.290000,1.700000
350,5.440913,5.619685,1.260000,1.110000,1.870000
400,5.120791,5.257344,2.330000,0.090000,0.590000
450,4.987623,5.050619,1.470000,0.660000,1.570000
500,4.866371,4.911376,1.210000,-0.110000,1.640000
550,4.720433,4.737817,1.380000,0.280000,1.380000
600,4.517210,4.604411,2.450000,1.080000,0.390000
650,4.436752,4.507885,1.050000,0.530000,2.970000
700,4.396549,4.411449,0.730000,0.870000,1.750000
750,4.342640,4.345100,0.720000,1.590000,1.040000
800,4.256653,4.209406,0.940000,-0.090000,2.860000
850,4.214346,4.122126,0.690000,1.280000,1.970000
900,4.179697,4.060813,1.220000,0.790000,1.280000
950,4.228660,4.021767,1.240000,1.390000,1.750000
1000,4.265722,4.020040,0.850000,0.650000,0.310000
