eval_wallclock,iteration,exploitability
2025-11-02T20:24:26,0,5.757407
2025-11-02T20:24:26,50,6.442254
2025-11-02T20:24:26,100,5.776238
2025-11-02T20:24:26,150,5.718117
2025-11-02T20:24:26,200,5.502397
2025-11-02T20:24:27,250,5.581109
2025-11-02T20:24:27,300,5.383329
2025-11-02T20:24:27,350,5.228633
2025-11-02T20:24:27,400,5.083062
2025-11-02T20:24:27,450,5.007872
2025-11-02T20:24:28,500,5.009534
2025-11-02T20:24:28,550,4.994317
2025-11-02T20:24:28,600,4.928478
2025-11-02T20:24:28,650,4.890100
2025-11-02T20:24:29,700,4.877256
2025-11-02T20:24:29,750,4.854514
2025-11-02T20:24:29,800,4.811488
2025-11-02T20:24:29,850,4.783385
2025-11-02T20:24:29,900,4.759752
2025-11-02T20:24:30,950,4.741420
2025-11-02T20:24:30,1000,4.746484
