Iteration,Exploitability_Current,Exploitability_SDCFR,VS_Random,VS_Always_Call,VS_Always_Raise
0,5.734487,N/A,0.330000,-1.150000,-0.610000
50,8.466862,N/A,2.170000,0.640000,2.450000
100,6.873862,7.512313,1.270000,0.760000,2.790000
150,6.501250,7.170311,1.600000,-0.080000,1.570000
200,6.311085,6.859280,0.780000,0.160000,2.830000
250,6.124859,6.490908,0.760000,-0.010000,0.800000
300,5.881888,5.712939,2.830000,1.850000,2.160000
350,5.378362,5.265122,1.180000,0.400000,2.950000
400,4.890786,4.976080,1.750000,0.300000,1.710000
450,4.640265,4.795702,1.670000,0.960000,1.820000
500,4.577888,4.646961,1.580000,1.020000,2.220000
550,4.510795,4.455198,0.470000,1.060000,0.870000
600,4.387453,4.347744,0.410000,1.600000,1.770000
650,4.304883,4.253728,0.820000,0.540000,1.560000
700,4.253473,4.172481,1.080000,0.560000,1.610000
750,4.157275,4.129632,1.720000,0.680000,0.410000
800,4.079364,4.111960,1.410000,1.200000,2.410000
850,4.049143,4.102599,1.620000,1.080000,1.760000
900,4.026731,4.105166,1.170000,1.330000,1.190000
950,3.971737,4.114782,0.340000,0.990000,1.130000
1000,3.973857,4.135197,1.980000,1.640000,0.740000
