Iteration,Exploitability_Current,Exploitability_SDCFR,VS_Random,VS_Always_Call,VS_Always_Raise
0,5.754792,N/A,-0.440000,-1.460000,-1.050000
50,8.302231,N/A,1.530000,0.740000,1.540000
100,7.184780,7.325829,1.380000,0.080000,3.100000
150,6.596813,6.970780,1.160000,0.210000,2.480000
200,6.169014,6.700322,1.430000,0.500000,2.220000
250,5.847575,5.997207,1.650000,-0.220000,1.970000
300,5.682591,5.612586,2.390000,0.760000,0.760000
350,5.544611,5.264338,1.670000,1.580000,1.750000
400,5.356601,5.004587,0.910000,0.970000,2.170000
450,5.198991,4.788915,1.140000,0.610000,1.500000
500,5.024552,4.638725,1.570000,-0.310000,1.670000
550,4.884740,4.487602,1.400000,-0.670000,1.970000
600,4.796911,4.312280,0.550000,0.790000,1.080000
650,4.619108,4.213772,0.690000,1.370000,0.170000
700,4.522335,4.142435,1.420000,1.090000,1.170000
750,4.436213,4.154615,1.460000,0.560000,1.180000
800,4.462375,4.143046,1.190000,-0.650000,1.110000
850,4.456435,4.148562,0.880000,0.700000,2.090000
900,4.485690,4.136566,1.200000,0.720000,1.030000
950,4.532165,4.158030,0.770000,0.840000,0.250000
1000,4.598625,4.178892,0.680000,0.340000,1.220000
