eval_wallclock,iteration,exploitability
2025-11-02T20:15:47,0,5.757407
2025-11-02T20:15:47,50,5.755980
2025-11-02T20:15:47,100,5.655225
2025-11-02T20:15:48,150,5.032296
2025-11-02T20:15:48,200,5.377749
2025-11-02T20:15:48,250,5.586961
2025-11-02T20:15:48,300,5.560426
2025-11-02T20:15:48,350,5.536085
2025-11-02T20:15:49,400,5.516673
2025-11-02T20:15:49,450,5.436517
2025-11-02T20:15:49,500,5.372545
2025-11-02T20:15:49,550,5.270890
2025-11-02T20:15:50,600,5.149988
2025-11-02T20:15:50,650,5.050065
2025-11-02T20:15:50,700,5.014071
2025-11-02T20:15:50,750,5.030913
2025-11-02T20:15:50,800,5.026746
2025-11-02T20:15:51,850,4.993257
2025-11-02T20:15:51,900,4.952459
2025-11-02T20:15:51,950,4.940034
2025-11-02T20:15:51,1000,5.004240
