Iteration,Exploitability_Current,Exploitability_SDCFR,VS_Random,VS_Always_Call,VS_Always_Raise
0,5.836605,N/A,0.190000,-0.850000,-0.070000
50,8.196706,N/A,0.700000,0.890000,2.430000
100,7.324488,7.420661,1.650000,-0.190000,2.070000
150,6.845566,7.031165,0.480000,-0.270000,2.010000
200,6.419073,6.693662,1.250000,-0.010000,2.810000
250,5.936236,6.071452,1.870000,0.240000,1.150000
300,5.436290,5.452262,1.110000,0.380000,1.080000
350,5.086700,5.161584,1.970000,1.790000,1.380000
400,4.754912,5.001319,0.990000,0.940000,2.020000
450,4.578163,4.949086,2.090000,0.570000,2.770000
500,4.508872,4.904734,0.270000,1.620000,3.240000
550,4.503948,4.894552,0.950000,1.220000,1.380000
600,4.435073,4.761071,1.280000,0.670000,1.060000
650,4.331551,4.626545,1.290000,0.560000,3.400000
700,4.319928,4.568436,1.580000,0.510000,1.410000
750,4.304573,4.474964,1.600000,1.390000,0.560000
800,4.262984,4.450267,1.250000,-0.420000,1.410000
850,4.245850,4.356021,0.790000,0.830000,1.420000
900,4.138730,4.273410,0.810000,0.910000,0.770000
950,4.106029,4.242455,1.480000,1.540000,0.990000
1000,4.058094,4.229855,0.630000,0.670000,1.360000
