eval_wallclock,iteration,exploitability
2025-11-02T20:24:37,0,5.757407
2025-11-02T20:24:37,50,5.891725
2025-11-02T20:24:37,100,5.316175
2025-11-02T20:24:37,150,5.173767
2025-11-02T20:24:38,200,4.956235
2025-11-02T20:24:38,250,4.839375
2025-11-02T20:24:38,300,5.067832
2025-11-02T20:24:38,350,5.074762
2025-11-02T20:24:38,400,4.997581
2025-11-02T20:24:39,450,4.995532
2025-11-02T20:24:39,500,5.020072
2025-11-02T20:24:39,550,5.038683
2025-11-02T20:24:39,600,5.051392
2025-11-02T20:24:40,650,5.030756
2025-11-02T20:24:40,700,5.004936
2025-11-02T20:24:40,750,4.977365
2025-11-02T20:24:40,800,4.926000
2025-11-02T20:24:40,850,4.884513
2025-11-02T20:24:41,900,4.877569
2025-11-02T20:24:41,950,4.880936
2025-11-02T20:24:41,1000,4.875865
